49.29 km | észak felé halad | 0.9 csomó | 07.24 - 21:35
49.31 km | észak felé halad | 0.9 csomó | 07.24 - 21:36
49.33 km | észak felé halad | 0.9 csomó | 07.24 - 21:37
49.7 km | észak felé halad | 0.9 csomó | 07.24 - 21:51
49.72 km | észak felé halad | 0.9 csomó | 07.24 - 21:52
49.78 km | észak felé halad | 1.0 csomó | 07.24 - 21:54
49.81 km | észak felé halad | 0.9 csomó | 07.24 - 21:55
49.91 km | észak felé halad | 1.1 csomó | 07.24 - 21:58
49.95 km | dél felé halad | 1.1 csomó | 07.24 - 21:59
