119.96 km | dél felé halad | 13.0 csomó | 07.24 - 22:24
114.85 km | dél felé halad | 13.2 csomó | 07.24 - 22:39
112.45 km | dél felé halad | 13.1 csomó | 07.24 - 22:46
111.7 km | dél felé halad | 13.2 csomó | 07.24 - 22:48
109.47 km | dél felé halad | 13.3 csomó | 07.24 - 22:54
109.07 km | dél felé halad | 13.3 csomó | 07.24 - 22:55
105.61 km | dél felé halad | 12.4 csomó | 07.24 - 23:06
102.39 km | dél felé halad | 7.3 csomó | 07.24 - 23:18
98.43 km | dél felé halad | 9.1 csomó | 07.24 - 23:35
95.33 km | dél felé halad | 9.5 csomó | 07.24 - 23:49
