2775.07 km | Áll délre | 0.0 csomó | 07.24 - 14:18
4724.3 km | Áll délre | 0.0 csomó | 07.24 - 14:50
88.19 km | Áll délre | 0.0 csomó | 07.24 - 22:52
88.19 km | Áll délre | 0.0 csomó | 07.24 - 23:00
88.19 km | Áll délre | 0.0 csomó | 07.24 - 23:38
88.19 km | Áll délre | 0.0 csomó | 07.24 - 23:40
88.19 km | Áll délre | 0.0 csomó | 07.24 - 23:42
88.19 km | Áll délre | 0.0 csomó | 07.24 - 23:44
88.19 km | Áll délre | 0.1 csomó | 07.24 - 23:51
