47.57 km | dél felé halad | 15.4 csomó | 07.24 - 22:18
48.42 km | dél felé halad | 15.3 csomó | 07.24 - 22:20
56.39 km | dél felé halad | 15.5 csomó | 07.24 - 22:39
59.97 km | dél felé halad | 15.7 csomó | 07.24 - 22:47
60.62 km | dél felé halad | 16.0 csomó | 07.24 - 22:49
62.71 km | dél felé halad | 15.7 csomó | 07.24 - 22:54
63.12 km | dél felé halad | 15.5 csomó | 07.24 - 22:55
64.72 km | dél felé halad | 16.3 csomó | 07.24 - 22:58
66.13 km | dél felé halad | 15.6 csomó | 07.24 - 23:01
82.05 km | dél felé halad | 16.5 csomó | 07.24 - 23:39
