213.07 km | észak felé halad | 4.8 csomó | 07.24 - 22:16
212.89 km | észak felé halad | 4.8 csomó | 07.24 - 22:18
212.86 km | észak felé halad | 4.6 csomó | 07.24 - 22:18
212.51 km | észak felé halad | 4.4 csomó | 07.24 - 22:21
212.2 km | észak felé halad | 5.0 csomó | 07.24 - 22:24
210.64 km | észak felé halad | 4.7 csomó | 07.24 - 22:38
210.1 km | észak felé halad | 4.5 csomó | 07.24 - 22:42
204.74 km | észak felé halad | 4.7 csomó | 07.24 - 23:38
204.14 km | észak felé halad | 4.2 csomó | 07.24 - 23:44
