69.46 km | észak felé halad | 33.3 csomó | 07.24 - 22:18
48.84 km | észak felé halad | 35.6 csomó | 07.24 - 22:38
33.26 km | észak felé halad | 34.3 csomó | 07.24 - 22:52
28.87 km | észak felé halad | 35.0 csomó | 07.24 - 22:56
22.63 km | észak felé halad | 32.4 csomó | 07.24 - 23:02
20.56 km | észak felé halad | 33.8 csomó | 07.24 - 23:04
18.44 km | észak felé halad | 35.4 csomó | 07.24 - 23:06
17.37 km | észak felé halad | 33.7 csomó | 07.24 - 23:07
3.11 km | észak felé halad | 34.9 csomó | 07.24 - 23:22
